"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 29 01:26:43 UTC 2026","Wed Jul 29 01:26:43 UTC 2026","147","","com.fettqa.events.event.rest.AuthControllerApiTest","","com.fettqa.events.event.rest.AuthControllerApiTest","createEvent_withUserToken_returns403","createEvent_withUserToken_returns403()",""
"passed","Wed Jul 29 01:26:47 UTC 2026","Wed Jul 29 01:26:47 UTC 2026","256","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","registration_returns201","registration_returns201()",""
"passed","Wed Jul 29 01:26:42 UTC 2026","Wed Jul 29 01:26:43 UTC 2026","201","","com.fettqa.events.event.rest.AdminUserControllerApiTest","","com.fettqa.events.event.rest.AdminUserControllerApiTest","listUsers_asUser_returns403","listUsers_asUser_returns403()",""
"passed","Wed Jul 29 01:26:43 UTC 2026","Wed Jul 29 01:26:43 UTC 2026","458","","com.fettqa.events.event.rest.AdminUserControllerApiTest","","com.fettqa.events.event.rest.AdminUserControllerApiTest","updateRole_asAdmin_setsSuperUser","updateRole_asAdmin_setsSuperUser()",""
"passed","Wed Jul 29 01:26:46 UTC 2026","Wed Jul 29 01:26:46 UTC 2026","154","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","getEventById_returns200","getEventById_returns200()",""
"passed","Wed Jul 29 01:26:45 UTC 2026","Wed Jul 29 01:26:46 UTC 2026","140","","com.fettqa.events.event.rest.EventControllerApiTest.BulkEventCreation","","com.fettqa.events.event.rest.EventControllerApiTest$BulkEventCreation","createInvalidEventsBulk_returns400","createInvalidEventsBulk_returns400()",""
"passed","Wed Jul 29 01:26:43 UTC 2026","Wed Jul 29 01:26:44 UTC 2026","31","","com.fettqa.events.event.rest.AuthControllerApiTest","","com.fettqa.events.event.rest.AuthControllerApiTest","createEvent_withoutToken_returns403","createEvent_withoutToken_returns403()",""
"passed","Wed Jul 29 01:26:44 UTC 2026","Wed Jul 29 01:26:45 UTC 2026","155","","com.fettqa.events.event.rest.DeletePermissionsApiTest","","com.fettqa.events.event.rest.DeletePermissionsApiTest","admin_canDeleteAnyEvent","admin_canDeleteAnyEvent()",""
"passed","Wed Jul 29 01:26:49 UTC 2026","Wed Jul 29 01:26:49 UTC 2026","134","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","registration_withoutToken_returns401or403","registration_withoutToken_returns401or403()",""
"passed","Wed Jul 29 01:26:46 UTC 2026","Wed Jul 29 01:26:46 UTC 2026","190","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","getEvent_returnsEmpty","getEvent_returnsEmpty()",""
"passed","Wed Jul 29 01:26:45 UTC 2026","Wed Jul 29 01:26:45 UTC 2026","236","","com.fettqa.events.event.rest.DeletePermissionsApiTest","","com.fettqa.events.event.rest.DeletePermissionsApiTest","user_cannotDeleteEvent","user_cannotDeleteEvent()",""
"passed","Wed Jul 29 01:26:48 UTC 2026","Wed Jul 29 01:26:48 UTC 2026","113","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","get_registration_returns404","get_registration_returns404()",""
"passed","Wed Jul 29 01:26:47 UTC 2026","Wed Jul 29 01:26:47 UTC 2026","160","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","deleteEvent_returns204","deleteEvent_returns204()",""
"passed","Wed Jul 29 01:26:35 UTC 2026","Wed Jul 29 01:26:35 UTC 2026","43","","com.fettqa.events.event.mock_mvc.EventControllerMockMvcTest","","com.fettqa.events.event.mock_mvc.EventControllerMockMvcTest","createEvent_returns400","createEvent_returns400()",""
"passed","Wed Jul 29 01:26:35 UTC 2026","Wed Jul 29 01:26:35 UTC 2026","17","","com.fettqa.events.event.mock_mvc.RegistrationControllerMockMvcTest","","com.fettqa.events.event.mock_mvc.RegistrationControllerMockMvcTest","create_returns201","create_returns201()",""
"passed","Wed Jul 29 01:26:44 UTC 2026","Wed Jul 29 01:26:44 UTC 2026","435","","com.fettqa.events.event.rest.DeletePermissionsApiTest","","com.fettqa.events.event.rest.DeletePermissionsApiTest","user_cannotDeleteSomeoneElsesRegistration","user_cannotDeleteSomeoneElsesRegistration()",""
"passed","Wed Jul 29 01:26:44 UTC 2026","Wed Jul 29 01:26:44 UTC 2026","285","","com.fettqa.events.event.rest.DeletePermissionsApiTest","","com.fettqa.events.event.rest.DeletePermissionsApiTest","admin_canDeleteAnyRegistration","admin_canDeleteAnyRegistration()",""
"passed","Wed Jul 29 01:26:34 UTC 2026","Wed Jul 29 01:26:35 UTC 2026","241","","com.fettqa.events.event.mock_mvc.EventControllerMockMvcTest","","com.fettqa.events.event.mock_mvc.EventControllerMockMvcTest","createEvent_returns201","createEvent_returns201()",""
"passed","Wed Jul 29 01:26:46 UTC 2026","Wed Jul 29 01:26:47 UTC 2026","205","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","patchEvent_returns200","patchEvent_returns200()",""
"passed","Wed Jul 29 01:26:46 UTC 2026","Wed Jul 29 01:26:46 UTC 2026","238","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","getEventByName_returns200","getEventByName_returns200()",""
"passed","Wed Jul 29 01:26:47 UTC 2026","Wed Jul 29 01:26:47 UTC 2026","118","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","getEventById_returns404WhenMissing","getEventById_returns404WhenMissing()",""
"passed","Wed Jul 29 01:26:41 UTC 2026","Wed Jul 29 01:26:42 UTC 2026","1873","","com.fettqa.events.event.rest.AdminUserControllerApiTest","","com.fettqa.events.event.rest.AdminUserControllerApiTest","listUsers_asAdmin_excludesAdminRole","listUsers_asAdmin_excludesAdminRole()",""
"passed","Wed Jul 29 01:26:45 UTC 2026","Wed Jul 29 01:26:45 UTC 2026","343","","com.fettqa.events.event.rest.DeletePermissionsApiTest","","com.fettqa.events.event.rest.DeletePermissionsApiTest","user_canDeleteOwnRegistration","user_canDeleteOwnRegistration()",""
"passed","Wed Jul 29 01:26:48 UTC 2026","Wed Jul 29 01:26:49 UTC 2026","147","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","get_registration_returns_empty_list","get_registration_returns_empty_list()",""
"passed","Wed Jul 29 01:26:47 UTC 2026","Wed Jul 29 01:26:48 UTC 2026","393","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","registration_concurrent_respectsMaxSeats","registration_concurrent_respectsMaxSeats()",""
"passed","Wed Jul 29 01:26:49 UTC 2026","Wed Jul 29 01:26:49 UTC 2026","349","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","registration_returns409_whenEventIsFull","registration_returns409_whenEventIsFull()",""
"passed","Wed Jul 29 01:26:43 UTC 2026","Wed Jul 29 01:26:43 UTC 2026","174","","com.fettqa.events.event.rest.AuthControllerApiTest","","com.fettqa.events.event.rest.AuthControllerApiTest","createEvent_withAdminToken_returns201","createEvent_withAdminToken_returns201()",""
"passed","Wed Jul 29 01:26:46 UTC 2026","Wed Jul 29 01:26:46 UTC 2026","144","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","createEvent_returns201","createEvent_returns201()",""
"passed","Wed Jul 29 01:26:45 UTC 2026","Wed Jul 29 01:26:45 UTC 2026","328","","com.fettqa.events.event.rest.EventControllerApiTest.BulkEventCreation","","com.fettqa.events.event.rest.EventControllerApiTest$BulkEventCreation","createEventsBulk_returnsList","createEventsBulk_returnsList()",""
"passed","Wed Jul 29 01:26:48 UTC 2026","Wed Jul 29 01:26:48 UTC 2026","273","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","get_registration_returns200","get_registration_returns200()",""
"passed","Wed Jul 29 01:26:48 UTC 2026","Wed Jul 29 01:26:48 UTC 2026","257","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","registration_returns409_whenEmailAlreadyRegistered","registration_returns409_whenEmailAlreadyRegistered()",""
"passed","Wed Jul 29 01:26:46 UTC 2026","Wed Jul 29 01:26:46 UTC 2026","135","","com.fettqa.events.event.rest.EventControllerApiTest.BulkEventCreation","","com.fettqa.events.event.rest.EventControllerApiTest$BulkEventCreation","createDuplicatedEventsBulk_returns400","createDuplicatedEventsBulk_returns400()",""
"passed","Wed Jul 29 01:26:47 UTC 2026","Wed Jul 29 01:26:47 UTC 2026","176","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","patchEvent_returns400","patchEvent_returns400()",""
