"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Aug 04 14:30:29 UTC 2026","Tue Aug 04 14:30:29 UTC 2026","18","","com.fettqa.events.event.mock_mvc.RegistrationControllerMockMvcTest","","com.fettqa.events.event.mock_mvc.RegistrationControllerMockMvcTest","create_returns201","create_returns201()",""
"passed","Tue Aug 04 14:30:41 UTC 2026","Tue Aug 04 14:30:42 UTC 2026","391","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","registration_concurrent_respectsMaxSeats","registration_concurrent_respectsMaxSeats()",""
"passed","Tue Aug 04 14:30:34 UTC 2026","Tue Aug 04 14:30:36 UTC 2026","1858","","com.fettqa.events.event.rest.AdminUserControllerApiTest","","com.fettqa.events.event.rest.AdminUserControllerApiTest","listUsers_asAdmin_excludesAdminRole","listUsers_asAdmin_excludesAdminRole()",""
"passed","Tue Aug 04 14:30:36 UTC 2026","Tue Aug 04 14:30:37 UTC 2026","176","","com.fettqa.events.event.rest.AdminUserControllerApiTest","","com.fettqa.events.event.rest.AdminUserControllerApiTest","listUsers_asUser_returns403","listUsers_asUser_returns403()",""
"passed","Tue Aug 04 14:30:40 UTC 2026","Tue Aug 04 14:30:40 UTC 2026","154","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","getEventById_returns200","getEventById_returns200()",""
"passed","Tue Aug 04 14:30:41 UTC 2026","Tue Aug 04 14:30:41 UTC 2026","152","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","deleteEvent_returns204","deleteEvent_returns204()",""
"passed","Tue Aug 04 14:30:43 UTC 2026","Tue Aug 04 14:30:43 UTC 2026","492","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","search_registrations_returnsPagedResult","search_registrations_returnsPagedResult()",""
"passed","Tue Aug 04 14:30:37 UTC 2026","Tue Aug 04 14:30:37 UTC 2026","159","","com.fettqa.events.event.rest.AuthControllerApiTest","","com.fettqa.events.event.rest.AuthControllerApiTest","createEvent_withAdminToken_returns201","createEvent_withAdminToken_returns201()",""
"passed","Tue Aug 04 14:30:42 UTC 2026","Tue Aug 04 14:30:42 UTC 2026","259","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","get_registration_returns200","get_registration_returns200()",""
"passed","Tue Aug 04 14:30:51 UTC 2026","Tue Aug 04 14:30:51 UTC 2026","119","","com.fettqa.events.messaging.RegistrationEmailServiceTest","","com.fettqa.events.messaging.RegistrationEmailServiceTest","sendRegistrationConfirmation_setsToSubjectAndBody","sendRegistrationConfirmation_setsToSubjectAndBody()",""
"passed","Tue Aug 04 14:30:39 UTC 2026","Tue Aug 04 14:30:39 UTC 2026","130","","com.fettqa.events.event.rest.EventControllerApiTest.BulkEventCreation","","com.fettqa.events.event.rest.EventControllerApiTest$BulkEventCreation","createInvalidEventsBulk_returns400","createInvalidEventsBulk_returns400()",""
"passed","Tue Aug 04 14:30:37 UTC 2026","Tue Aug 04 14:30:38 UTC 2026","475","","com.fettqa.events.event.rest.DeletePermissionsApiTest","","com.fettqa.events.event.rest.DeletePermissionsApiTest","user_cannotDeleteSomeoneElsesRegistration","user_cannotDeleteSomeoneElsesRegistration()",""
"passed","Tue Aug 04 14:30:41 UTC 2026","Tue Aug 04 14:30:41 UTC 2026","161","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","patchEvent_returns400","patchEvent_returns400()",""
