"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 01 05:32:43 UTC 2026","Sat Aug 01 05:32:43 UTC 2026","204","","com.fettqa.events.event.rest.DeletePermissionsApiTest","","com.fettqa.events.event.rest.DeletePermissionsApiTest","admin_canDeleteAnyEvent","admin_canDeleteAnyEvent()",""
"passed","Sat Aug 01 05:32:44 UTC 2026","Sat Aug 01 05:32:44 UTC 2026","135","","com.fettqa.events.event.rest.EventControllerApiTest.BulkEventCreation","","com.fettqa.events.event.rest.EventControllerApiTest$BulkEventCreation","createInvalidEventsBulk_returns400","createInvalidEventsBulk_returns400()",""
"passed","Sat Aug 01 05:32:33 UTC 2026","Sat Aug 01 05:32:33 UTC 2026","19","","com.fettqa.events.event.mock_mvc.RegistrationControllerMockMvcTest","","com.fettqa.events.event.mock_mvc.RegistrationControllerMockMvcTest","create_returns201","create_returns201()",""
"passed","Sat Aug 01 05:32:44 UTC 2026","Sat Aug 01 05:32:44 UTC 2026","367","","com.fettqa.events.event.rest.EventControllerApiTest.BulkEventCreation","","com.fettqa.events.event.rest.EventControllerApiTest$BulkEventCreation","createEventsBulk_returnsList","createEventsBulk_returnsList()",""
"passed","Sat Aug 01 05:32:42 UTC 2026","Sat Aug 01 05:32:42 UTC 2026","152","","com.fettqa.events.event.rest.AuthControllerApiTest","","com.fettqa.events.event.rest.AuthControllerApiTest","createEvent_withUserToken_returns403","createEvent_withUserToken_returns403()",""
"passed","Sat Aug 01 05:32:45 UTC 2026","Sat Aug 01 05:32:46 UTC 2026","162","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","deleteEvent_returns204","deleteEvent_returns204()",""
"passed","Sat Aug 01 05:32:45 UTC 2026","Sat Aug 01 05:32:45 UTC 2026","148","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","getEvent_returnsEmpty","getEvent_returnsEmpty()",""
"passed","Sat Aug 01 05:32:45 UTC 2026","Sat Aug 01 05:32:45 UTC 2026","162","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","getEventById_returns200","getEventById_returns200()",""
"passed","Sat Aug 01 05:32:44 UTC 2026","Sat Aug 01 05:32:45 UTC 2026","204","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","getEventByName_returns200","getEventByName_returns200()",""
"passed","Sat Aug 01 05:32:43 UTC 2026","Sat Aug 01 05:32:44 UTC 2026","328","","com.fettqa.events.event.rest.DeletePermissionsApiTest","","com.fettqa.events.event.rest.DeletePermissionsApiTest","user_canDeleteOwnRegistration","user_canDeleteOwnRegistration()",""
"passed","Sat Aug 01 05:32:46 UTC 2026","Sat Aug 01 05:32:47 UTC 2026","305","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","get_registration_returns200","get_registration_returns200()",""
"passed","Sat Aug 01 05:32:42 UTC 2026","Sat Aug 01 05:32:42 UTC 2026","176","","com.fettqa.events.event.rest.AuthControllerApiTest","","com.fettqa.events.event.rest.AuthControllerApiTest","createEvent_withAdminToken_returns201","createEvent_withAdminToken_returns201()",""
"passed","Sat Aug 01 05:32:46 UTC 2026","Sat Aug 01 05:32:46 UTC 2026","118","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","getEventById_returns404WhenMissing","getEventById_returns404WhenMissing()",""
"passed","Sat Aug 01 05:32:47 UTC 2026","Sat Aug 01 05:32:47 UTC 2026","135","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","registration_withoutToken_returns401or403","registration_withoutToken_returns401or403()",""
"passed","Sat Aug 01 05:32:43 UTC 2026","Sat Aug 01 05:32:43 UTC 2026","256","","com.fettqa.events.event.rest.DeletePermissionsApiTest","","com.fettqa.events.event.rest.DeletePermissionsApiTest","user_cannotDeleteEvent","user_cannotDeleteEvent()",""
"passed","Sat Aug 01 05:32:39 UTC 2026","Sat Aug 01 05:32:41 UTC 2026","1964","","com.fettqa.events.event.rest.AdminUserControllerApiTest","","com.fettqa.events.event.rest.AdminUserControllerApiTest","listUsers_asAdmin_excludesAdminRole","listUsers_asAdmin_excludesAdminRole()",""
"passed","Sat Aug 01 05:32:45 UTC 2026","Sat Aug 01 05:32:45 UTC 2026","155","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","createEvent_returns201","createEvent_returns201()",""
"passed","Sat Aug 01 05:32:45 UTC 2026","Sat Aug 01 05:32:45 UTC 2026","219","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","patchEvent_returns200","patchEvent_returns200()",""
"passed","Sat Aug 01 05:32:53 UTC 2026","Sat Aug 01 05:32:53 UTC 2026","704","","com.fettqa.events.event.spring_boot.RegistrationKafkaIT","","com.fettqa.events.event.spring_boot.RegistrationKafkaIT","publishesAndRead","publishesAndRead()",""
"passed","Sat Aug 01 05:32:41 UTC 2026","Sat Aug 01 05:32:41 UTC 2026","170","","com.fettqa.events.event.rest.AdminUserControllerApiTest","","com.fettqa.events.event.rest.AdminUserControllerApiTest","listUsers_asUser_returns403","listUsers_asUser_returns403()",""
"passed","Sat Aug 01 05:32:33 UTC 2026","Sat Aug 01 05:32:33 UTC 2026","40","","com.fettqa.events.event.mock_mvc.EventControllerMockMvcTest","","com.fettqa.events.event.mock_mvc.EventControllerMockMvcTest","createEvent_returns400","createEvent_returns400()",""
"passed","Sat Aug 01 05:32:43 UTC 2026","Sat Aug 01 05:32:43 UTC 2026","323","","com.fettqa.events.event.rest.DeletePermissionsApiTest","","com.fettqa.events.event.rest.DeletePermissionsApiTest","admin_canDeleteAnyRegistration","admin_canDeleteAnyRegistration()",""
"passed","Sat Aug 01 05:32:41 UTC 2026","Sat Aug 01 05:32:42 UTC 2026","471","","com.fettqa.events.event.rest.AdminUserControllerApiTest","","com.fettqa.events.event.rest.AdminUserControllerApiTest","updateRole_asAdmin_setsSuperUser","updateRole_asAdmin_setsSuperUser()",""
"passed","Sat Aug 01 05:32:50 UTC 2026","Sat Aug 01 05:32:51 UTC 2026","1171","","com.fettqa.events.event.rest.RegistrationKafkaApiTest","","com.fettqa.events.event.rest.RegistrationKafkaApiTest","registration_publishesRegistrationCreatedEvent","registration_publishesRegistrationCreatedEvent()",""
"passed","Sat Aug 01 05:32:45 UTC 2026","Sat Aug 01 05:32:45 UTC 2026","187","","com.fettqa.events.event.rest.EventControllerApiTest.EventLifecycle","","com.fettqa.events.event.rest.EventControllerApiTest$EventLifecycle","patchEvent_returns400","patchEvent_returns400()",""
"passed","Sat Aug 01 05:32:47 UTC 2026","Sat Aug 01 05:32:47 UTC 2026","257","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","registration_returns409_whenEmailAlreadyRegistered","registration_returns409_whenEmailAlreadyRegistered()",""
"passed","Sat Aug 01 05:32:47 UTC 2026","Sat Aug 01 05:32:47 UTC 2026","149","","com.fettqa.events.event.rest.RegistrationControllerApiTest","","com.fettqa.events.event.rest.RegistrationControllerApiTest","get_registration_returns_empty_list","get_registration_returns_empty_list()",""
