"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Aug 02 00:19:41 UTC 2026","Sun Aug 02 00:20:09 UTC 2026","27996","","com.fettqa.events.mobile.LoginTest","","com.fettqa.events.mobile.LoginTest","login_admin_shows_admin_controls","login_admin_shows_admin_controls()",""
"passed","Sun Aug 02 00:18:54 UTC 2026","Sun Aug 02 00:19:10 UTC 2026","15193","","com.fettqa.events.mobile.GuestEventsTest","","com.fettqa.events.mobile.GuestEventsTest","guest_sees_events_list","guest_sees_events_list()",""
"passed","Sun Aug 02 00:20:09 UTC 2026","Sun Aug 02 00:20:31 UTC 2026","22202","","com.fettqa.events.mobile.RegisterForEventTest","","com.fettqa.events.mobile.RegisterForEventTest","register_duplicate_shows_error","register_duplicate_shows_error()",""
"passed","Sun Aug 02 00:20:48 UTC 2026","Sun Aug 02 00:21:04 UTC 2026","15905","","com.fettqa.events.mobile.RegisterUserTest","","com.fettqa.events.mobile.RegisterUserTest","register_user_reaches_events_without_create_fab","register_user_reaches_events_without_create_fab()",""
"passed","Sun Aug 02 00:20:31 UTC 2026","Sun Aug 02 00:20:48 UTC 2026","17231","","com.fettqa.events.mobile.RegisterForEventTest","","com.fettqa.events.mobile.RegisterForEventTest","register_for_event_success","register_for_event_success()",""
"broken","Sun Aug 02 00:19:10 UTC 2026","Sun Aug 02 00:19:41 UTC 2026","31133","","com.fettqa.events.mobile.LoginTest","","com.fettqa.events.mobile.LoginTest","login_bad_password_shows_error","login_bad_password_shows_error()",""
