"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Mobile Appium","Guest","","0","0","1","0","0"
"Mobile Appium","Login","","0","0","2","0","0"
"Mobile Appium","Register","","0","0","1","0","0"
"Mobile Appium","Register for event","","0","0","2","0","0"
