"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 13 15:00:41 UTC 2026","Thu Aug 13 15:00:51 UTC 2026","9844","","Create event and register","","Admin creates an event and registers for it","","Admin creates an event and registers for it","  As an admin
  I want to create an event and register for it
  So that I appear in the registrations list"
"passed","Thu Aug 13 15:00:54 UTC 2026","Thu Aug 13 15:00:55 UTC 2026","1254","","com.fettqa.events.e2e.functional.RegisterDuplicateEmailE2ETest","","com.fettqa.events.e2e.functional.RegisterDuplicateEmailE2ETest","registerSameEmailTwice_showsError","registerSameEmailTwice_showsError()",""
"passed","Thu Aug 13 15:00:58 UTC 2026","Thu Aug 13 15:00:58 UTC 2026","444","","com.fettqa.events.e2e.functional.RegisterUserE2ETest","","com.fettqa.events.e2e.functional.RegisterUserE2ETest","register_showsUserInHeader","register_showsUserInHeader()",""
"passed","Thu Aug 13 15:00:52 UTC 2026","Thu Aug 13 15:00:53 UTC 2026","851","","com.fettqa.events.e2e.functional.CreateEventAndRegisterE2ETest","","com.fettqa.events.e2e.functional.CreateEventAndRegisterE2ETest","createEventAndRegister_showsSuccess","createEventAndRegister_showsSuccess()",""
"passed","Thu Aug 13 15:00:51 UTC 2026","Thu Aug 13 15:00:52 UTC 2026","402","","Register user","","New user sees their info in the header","","New user sees their info in the header","  As a visitor
  I want to create an account
  So that the header shows my identity"
"passed","Thu Aug 13 15:00:53 UTC 2026","Thu Aug 13 15:00:54 UTC 2026","618","","com.fettqa.events.e2e.functional.CreateEventWithEmptyNameTest","","com.fettqa.events.e2e.functional.CreateEventWithEmptyNameTest","createEventWithEmptyName_showsValidation","createEventWithEmptyName_showsValidation()",""
"passed","Thu Aug 13 15:00:56 UTC 2026","Thu Aug 13 15:00:57 UTC 2026","1447","","com.fettqa.events.e2e.functional.RegisterSendsEmailE2ETest","","com.fettqa.events.e2e.functional.RegisterSendsEmailE2ETest","registerForEvent_sendsConfirmationEmail","registerForEvent_sendsConfirmationEmail()",""
