"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 01 05:33:05 UTC 2026","Sat Aug 01 05:33:06 UTC 2026","466","tests","test_auth","TestAuth","","","test_login_admin_returns_token",""
"passed","Sat Aug 01 05:33:06 UTC 2026","Sat Aug 01 05:33:06 UTC 2026","25","tests","test_events","TestEvents","","","test_get_event_by_id",""
"passed","Sat Aug 01 05:33:06 UTC 2026","Sat Aug 01 05:33:06 UTC 2026","149","tests","test_auth","TestAuth","","","test_create_event_with_user_token_returns_403",""
"passed","Sat Aug 01 05:33:06 UTC 2026","Sat Aug 01 05:33:06 UTC 2026","16","tests","test_events","TestEvents","","","test_create_event_returns_201",""
"passed","Sat Aug 01 05:33:07 UTC 2026","Sat Aug 01 05:33:07 UTC 2026","5","tests","test_registrations","TestRegistrations","","","test_register_without_token_returns_401_or_403",""
"passed","Sat Aug 01 05:33:06 UTC 2026","Sat Aug 01 05:33:06 UTC 2026","32","tests","test_events","TestEvents","","","test_create_event_invalid_returns_400",""
"passed","Sat Aug 01 05:33:06 UTC 2026","Sat Aug 01 05:33:07 UTC 2026","487","tests","test_registration_kafka","TestRegistrationKafka","","","test_register_publishes_registration_created_event",""
"passed","Sat Aug 01 05:33:06 UTC 2026","Sat Aug 01 05:33:06 UTC 2026","34","tests","test_auth","TestAuth","","","test_create_event_with_admin_token_returns_201",""
"passed","Sat Aug 01 05:33:07 UTC 2026","Sat Aug 01 05:33:07 UTC 2026","123","tests","test_registrations","TestRegistrations","","","test_register_duplicate_email_returns_409",""
"passed","Sat Aug 01 05:33:07 UTC 2026","Sat Aug 01 05:33:07 UTC 2026","105","tests","test_registrations","TestRegistrations","","","test_register_returns_201",""
"passed","Sat Aug 01 05:33:06 UTC 2026","Sat Aug 01 05:33:06 UTC 2026","12","tests","test_events","TestEvents","","","test_get_missing_event_returns_404",""
"passed","Sat Aug 01 05:33:07 UTC 2026","Sat Aug 01 05:33:08 UTC 2026","102","tests","test_registrations","TestRegistrations","","","test_register_missing_event_returns_404",""
"passed","Sat Aug 01 05:33:06 UTC 2026","Sat Aug 01 05:33:06 UTC 2026","6","tests","test_health","","","","test_health_is_up",""
"passed","Sat Aug 01 05:33:07 UTC 2026","Sat Aug 01 05:33:07 UTC 2026","230","tests","test_registrations","TestRegistrations","","","test_register_when_full_returns_409",""
"passed","Sat Aug 01 05:33:06 UTC 2026","Sat Aug 01 05:33:06 UTC 2026","30","tests","test_auth","TestAuth","","","test_create_event_without_token_returns_403",""
