"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 31 14:43:05 UTC 2026","Fri Jul 31 14:43:06 UTC 2026","572","tests","test_auth","TestAuth","","","test_login_admin_returns_token",""
"passed","Fri Jul 31 14:43:07 UTC 2026","Fri Jul 31 14:43:07 UTC 2026","5","tests","test_registrations","TestRegistrations","","","test_register_without_token_returns_401_or_403",""
"passed","Fri Jul 31 14:43:07 UTC 2026","Fri Jul 31 14:43:07 UTC 2026","92","tests","test_registrations","TestRegistrations","","","test_register_missing_event_returns_404",""
"passed","Fri Jul 31 14:43:07 UTC 2026","Fri Jul 31 14:43:07 UTC 2026","114","tests","test_registrations","TestRegistrations","","","test_register_duplicate_email_returns_409",""
"passed","Fri Jul 31 14:43:06 UTC 2026","Fri Jul 31 14:43:06 UTC 2026","22","tests","test_events","TestEvents","","","test_get_event_by_id",""
"passed","Fri Jul 31 14:43:07 UTC 2026","Fri Jul 31 14:43:07 UTC 2026","209","tests","test_registrations","TestRegistrations","","","test_register_when_full_returns_409",""
"passed","Fri Jul 31 14:43:07 UTC 2026","Fri Jul 31 14:43:07 UTC 2026","102","tests","test_registrations","TestRegistrations","","","test_register_returns_201",""
"passed","Fri Jul 31 14:43:06 UTC 2026","Fri Jul 31 14:43:06 UTC 2026","14","tests","test_events","TestEvents","","","test_create_event_returns_201",""
"passed","Fri Jul 31 14:43:06 UTC 2026","Fri Jul 31 14:43:06 UTC 2026","32","tests","test_auth","TestAuth","","","test_create_event_with_admin_token_returns_201",""
"passed","Fri Jul 31 14:43:06 UTC 2026","Fri Jul 31 14:43:07 UTC 2026","460","tests","test_registration_kafka","TestRegistrationKafka","","","test_register_publishes_registration_created_event",""
"passed","Fri Jul 31 14:43:06 UTC 2026","Fri Jul 31 14:43:06 UTC 2026","22","tests","test_auth","TestAuth","","","test_create_event_without_token_returns_403",""
"passed","Fri Jul 31 14:43:06 UTC 2026","Fri Jul 31 14:43:06 UTC 2026","160","tests","test_auth","TestAuth","","","test_create_event_with_user_token_returns_403",""
"passed","Fri Jul 31 14:43:06 UTC 2026","Fri Jul 31 14:43:06 UTC 2026","7","tests","test_health","","","","test_health_is_up",""
"passed","Fri Jul 31 14:43:06 UTC 2026","Fri Jul 31 14:43:06 UTC 2026","12","tests","test_events","TestEvents","","","test_get_missing_event_returns_404",""
"passed","Fri Jul 31 14:43:06 UTC 2026","Fri Jul 31 14:43:06 UTC 2026","41","tests","test_events","TestEvents","","","test_create_event_invalid_returns_400",""
