"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 01 05:33:24 UTC 2026","Sat Aug 01 05:33:25 UTC 2026","641","","com.fettqa.events.e2e.functional.CreateEventWithEmptyNameTest","","com.fettqa.events.e2e.functional.CreateEventWithEmptyNameTest","createEventWithEmptyName_showsValidation","createEventWithEmptyName_showsValidation()",""
"passed","Sat Aug 01 05:33:25 UTC 2026","Sat Aug 01 05:33:26 UTC 2026","1296","","com.fettqa.events.e2e.functional.RegisterDuplicateEmailE2ETest","","com.fettqa.events.e2e.functional.RegisterDuplicateEmailE2ETest","registerSameEmailTwice_showsError","registerSameEmailTwice_showsError()",""
"passed","Sat Aug 01 05:33:27 UTC 2026","Sat Aug 01 05:33:27 UTC 2026","448","","com.fettqa.events.e2e.functional.RegisterUserE2ETest","","com.fettqa.events.e2e.functional.RegisterUserE2ETest","register_showsUserInHeader","register_showsUserInHeader()",""
"passed","Sat Aug 01 05:33:22 UTC 2026","Sat Aug 01 05:33:24 UTC 2026","1898","","com.fettqa.events.e2e.functional.CreateEventAndRegisterE2ETest","","com.fettqa.events.e2e.functional.CreateEventAndRegisterE2ETest","createEventAndRegister_showsSuccess","createEventAndRegister_showsSuccess()",""
